row.id,abstract.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer,title,author,journal,volume,number,pages,year,doi,,,,,,
100,MA217,Modelling,n/a,KJB,Intra-group relatedness affects parental and helper investment rules in offspring care,"Savage, J.L. and Russell, A.F. and Johnstone, R.A.",Behavioral Ecology and Sociobiology,67,11,1855-1865,2013,10.1007/s00265-013-1595-5,,,,,,
114,MA252,Modelling,n/a,KJB,"Mutualism, market effects and partner control","Johnstone, R. A. and Bshary, R.",JOURNAL OF EVOLUTIONARY BIOLOGY,21,3,879-888,2008,10.1111/j.1420-9101.2008.01505.x,,,,,,
128,MA284,Modelling,n/a,KJB,Plant-animal mutualism in biological markets: Evolutionary and ecological dynamics driven by non-heritable phenotypic variance,"Song, Zhiyuan and Feldman, Marcus W.",THEORETICAL POPULATION BIOLOGY,88,NA,20-30,2013,10.1016/j.tpb.2013.06.002,,,,,,
129,MA286,Modelling,n/a,KJB,Policing and group cohesion when resources vary,"Frank, SA",ANIMAL BEHAVIOUR,52,6,1163-1169,1996,10.1006/anbe.1996.0263,,,,,,
154,MA345,Modelling,n/a,KJB,Spatial evolutionary dynamics produce a negative cooperation-population size relationship,"Tekwa, Edward W. and Gonzalez, Andrew and Loreau, Michel",THEORETICAL POPULATION BIOLOGY,125,NA,94-101,2019,10.1016/j.tpb.2018.12.003,,,,,,
159,MA359,Modelling,n/a,KJB,Symbiotic sympatric speciation through interaction-driven phenotype differentiation,"Kaneko, K and Yomo, T",EVOLUTIONARY ECOLOGY RESEARCH,4,3,317-350,2002,NA,,,,,,
166,MA371,Modelling,n/a,KJB,The effects of behavioral plasticity and leadership on the predictions of optimal skew models,"Hamilton, Ian M.",BEHAVIORAL ECOLOGY,24,2,444-456,2013,10.1093/beheco/ars182,,,,,,
10,MA19,Interspecific,host-symbiont,LKL,Antagonistic interactions among coral-associated bacteria,"Rypien, K.L. and Ward, J.R. and Azam, F.",Environmental Microbiology,12,1,28-39,2010,10.1111/j.1462-2920.2009.02027.x,,,,,,
11,MA22,Interspecific,host-symbiont,LKL,Aphid-encoded variability in susceptibility to a parasitoid,"Martinez, A.J. and Ritter, S.G. and Doremus, M.R. and Russell, J.A. and Oliver, K.M.",BMC Evolutionary Biology,14,1,NA,2014,10.1186/1471-2148-14-127,,,,,,
33,MA73,Interspecific,host-symbiont,LKL,Context-dependent interactions of insects and defensive symbionts: insights from a novel system in siricid woodwasps,"Hajek, A.E. and Morris, E.E. and Hendry, T.A.",Current Opinion in Insect Science,33,NA,77-83,2019,10.1016/j.cois.2019.03.006,,,,,,
53,MA110,Interspecific,host-symbiont,LKL,Ecological characteristics of insects that affect symbiotic relationships with mites,"Okabe, K.",Entomological Science,16,4,363-378,2013,10.1111/ens.12050,,,,,,
64,MA130,Interspecific,plant-animal,LKL,Evolution of tree killing in bark beetles (Coleoptera: Curculionidae): Trade-offs between the maddening crowds and a sticky situation,"Lindgren, B.S. and Raffa, K.F.",Canadian Entomologist,145,5,471-495,2013,10.4039/tce.2013.27,,,,,,
